RepSeqName	U-ID	TrEMBL	T-KO	KEGG	K-KO	U-ID	SwissProt	S-KO
S_ruber_randomG_0001_1_30	Q2S0Z2_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_31	D5HAW2_SALRM	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_34	D5HAW0_SALRM	Sodium/calcium exchanger protein	K07301	* cation:H+ antiporter	K07301	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_38	D5HAV6_SALRM	Inorganic pyrophosphatase	K01507	* inorganic pyrophosphatase [EC:3.6.1.1]	K01507	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_39	D5HAV5_SALRM	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_40	D5HAV4_SALRM	Uncharacterized protein	No_Match	putative membrane protein	K08981	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_44	A0A2P6C3N0_9BACT	Uncharacterized protein	No_Match	* starch-binding outer membrane protein, SusD/RagB family	K21572	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_45	A0A2P6C3P1_9BACT	Uncharacterized protein	No_Match	ribokinase [EC:2.7.1.15]	K00852	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_46	D5HAV3_SALRM	Tagatose 1,6-diphosphate aldolase	K01635	* tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	K01635	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_48	D5HAV1_SALRM	Uncharacterized protein	No_Match	D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ	K16371	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_49	A0A2P6C3P4_9BACT	Na+:solute symporter	No_Match	solute:Na+ symporter, SSS family	K03307	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_50	A0A2P6C3N7_9BACT	Uncharacterized protein	No_Match	uncharacterized protein	K07045	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_51	A0A2P6C3R9_9BACT	Glycosyl hydrolase	No_Match	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	K00010	GH109_STRMK	Glycosyl hydrolase family 109 protein;	No_Match
S_ruber_randomG_0001_1_52	A0A1V0DGT5_9BACT	Beta-N-acetylglucosaminidase	K12373	* hexosaminidase [EC:3.2.1.52]	K12373	HEXA_PORGI	Beta-hexosaminidase;	K12373
S_ruber_randomG_0001_1_53	A0A2P6C3T1_9BACT	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_54	No_Match	Hypothetical Gene	No_Match	galactose oxidase [EC:1.1.3.9]	K04618	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_57	D5HAU2_SALRM	Uncharacterized protein	No_Match	two-component system, sensor histidine kinase [EC:2.7.13.3]	K20975	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_58	D5HAU0_SALRM	DNA repair exonuclease	No_Match	* DNA repair protein SbcD/Mre11	K03547	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_60	D5HAT8_SALRM	Putative esterase	No_Match	enterochelin esterase and related enzymes	K07214	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_61	D5HAT7_SALRM	Uncharacterized protein	No_Match	* predicted type IV restriction endonuclease	K07504	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_62	D5HAT6_SALRM	NAD dependent epimerase/dehydratase family	No_Match	dihydroflavonol-4-reductase [EC:1.1.1.219]	K00091	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_63	D5HAT5_SALRM	Uncharacterized protein	No_Match	* L-histidine Nalpha-methyltransferase [EC:2.1.1.44]	K18911	EGTD_MYCS2	Histidine N-alpha-methyltransferase	K18911
S_ruber_randomG_0001_1_64	D5HAT4_SALRM	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_65	Q2S122_SALRD	Inorganic pyrophosphatase	K01507	* inorganic pyrophosphatase [EC:3.6.1.1]	K01507	IPYR2_CHLRE	Soluble inorganic pyrophosphatase 2;	K01507
S_ruber_randomG_0001_1_67	Q2S124_SALRD	Pantothenate permease	K03307	* solute:Na+ symporter, SSS family	K03307	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_70	D5HAS9_SALRM	Uncharacterized protein	No_Match	seryl-tRNA synthetase [EC:6.1.1.11]	K01875	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_72	D5HAS7_SALRM	Uncharacterized protein	No_Match	dCTP diphosphatase [EC:3.6.1.12]	K16904	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_73	Q2S129_SALRD	Uncharacterized protein	No_Match	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	K00554	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_74	Q2S130_SALRD	Putative 22-domain light-and oxygen-sensing histidine kinase	No_Match	c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]	K13243	LVHK1_ERYLH	Blue-light-activated histidine kinase 1;	No_Match
S_ruber_randomG_0001_1_75	Q2S131_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_76	Q2S132_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_77	D5HAS3_SALRM	Uncharacterized protein	No_Match	serine protease Do [EC:3.4.21.107]	K04771	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_79	D5HAS1_SALRM	Metalloenzyme superfamily protein	No_Match	phosphopentomutase [EC:5.4.2.7]	K01839	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_81	D5HAR9_SALRM	Dehydrogenase	No_Match	* 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	K00038	LINX_SPHJU	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX	K15238
S_ruber_randomG_0001_1_82	D5HAR8_SALRM	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_83	D5HAR7_SALRM	Uncharacterized protein	No_Match	tellurite methyltransferase [EC:2.1.1.265]	K16868	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_84	D5HAR6_SALRM	Uncharacterized protein	No_Match	zinc resistance-associated protein	K07803	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_1	Q2S669_SALRD	Methyl-accepting chemotaxis protein	No_Match	* methyl-accepting chemotaxis protein	K03406	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_2	A0A2T2SY56_9BACT	Uncharacterized protein	No_Match	transposase	K07488	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_3	A0A2T2SFM4_9BACT	Uncharacterized protein	No_Match	* transposase	K07488	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_4	No_Match	Hypothetical Gene	No_Match	SprT-like protein	K03095	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_5	A0A0F7JMW2_9DEIO	ATPase	No_Match	nitric oxide reductase NorQ protein	K04748	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_6	No_Match	Hypothetical Gene	No_Match	aminopeptidase N [EC:3.4.11.2]	K01256	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_9	K2E3Z9_9BACT	Transposase IS116/IS110/IS902	No_Match	* transposase	K07486	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_11	A0A2Z3H9R8_9BACT	Protein phosphatase 2C domain-containing protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_12	No_Match	Hypothetical Gene	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_13	No_Match	Hypothetical Gene	No_Match	cap2 methyltransferase [EC:2.1.1.296]	K14590	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_15	No_Match	Hypothetical Gene	No_Match	protein O-mannosyl-transferase [EC:2.4.1.-]	K23424	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_16	No_Match	Hypothetical Gene	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_18	No_Match	Hypothetical Gene	No_Match	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_19	No_Match	Hypothetical Gene	No_Match	Ca-activated chloride channel homolog	K07114	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_20	No_Match	Hypothetical Gene	No_Match	omega-3 fatty acid desaturase (Delta-15 desaturase) [EC:1.14.19.-]	K23006	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_21	No_Match	Hypothetical Gene	No_Match	RNA polymerase II elongation factor ELL	K15183	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_22	Q2RYL2_SALRD	Site-specific recombinase, phage integrase family, truncation	K04763	integrase/recombinase XerD	K04763	XERA_THEKO	Tyrosine recombinase XerA	K04763
S_ruber_randomG_0001_2_23	A0A2T2T931_9BACT	Uncharacterized protein	No_Match	intracellular multiplication protein IcmW	K12224	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_24	A0A2T2T4B0_9BACT	Uncharacterized protein	No_Match	two-component system, cell cycle response regulator DivK	K11443	YSO1_LEPBY	Uncharacterized 14.6 kDa protein in sodA1 3'region;	No_Match
S_ruber_randomG_0001_2_25	A0A2T2U2U3_9BACT	Uncharacterized protein	No_Match	two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	K07679	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_26	A0A1M6X5R2_9BACT	Purine-binding chemotaxis protein CheW	No_Match	purine-binding chemotaxis protein CheW	K03408	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_27	D5H4Y1_SALRM	Methyl-accepting chemotaxis protein McpA	K03406	* methyl-accepting chemotaxis protein	K03406	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_29	No_Match	Hypothetical Gene	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_33	Q2S4U7_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_34	D5H4B5_SALRM	Putative nuclease	No_Match	micrococcal nuclease [EC:3.1.31.1]	K01174	YFI3_ECO57	Uncharacterized endonuclease;	No_Match
S_ruber_randomG_0001_2_37	No_Match	Hypothetical Gene	No_Match	protein unc-45	K21991	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_38	A0A2P6C686_9BACT	Chromosome partitioning protein ParA	No_Match	* chromosome partitioning protein	K03496	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_40	D6CW31_SALRM	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_42	D6CW29_SALRM	Uncharacterized protein	No_Match	reductase VcaE	K18836	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_45	No_Match	Hypothetical Gene	No_Match	transposase	K07485	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_47	A0A2P6C659_9BACT	Uncharacterized protein	No_Match	DNA repair and recombination protein RAD54 and RAD54-like protein [EC:3.6.4.-]	K10875	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_48	No_Match	Hypothetical Gene	No_Match	* adenine-specific DNA-methyltransferase [EC:2.1.1.72]	K07317	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_49	A0A0F9RQD0_9ZZZZ	Uncharacterized protein	No_Match	Ras-specific guanine nucleotide-releasing factor 2	K12326	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_50	A0A1Z4M0W3_9CYAN	Uncharacterized protein	No_Match	dTMP kinase [EC:2.7.4.9]	K00943	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_51	Q2S2B9_SALRD	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_52	A0A271IZG8_9BACT	Uncharacterized protein	No_Match	endonuclease [EC:3.1.-.-]	K07503	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_53	A0A2E3R094_9BACT	PEGA domain-containing protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_54	D5H493_SALRM	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_57	A0A2H0JX53_9BACT	RNA polymerase subunit sigma-70	No_Match	* RNA polymerase sigma-70 factor, ECF subfamily	K03088	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_59	No_Match	Hypothetical Gene	No_Match	outer membrane receptor for ferrienterochelin and colicins	K16089	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_61	A0A2T2TYF6_9BACT	Uncharacterized protein	No_Match	keratan sulfate 6-sulfotransferase 1 [EC:2.8.2.21]	K01022	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_67	D6CVZ7_SALRM	Response regulators consisting of a CheY-like receiver domain	No_Match	two-component system, OmpR family, phosphate regulon response regulator PhoB	K07657	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_69	Q2RZM2_SALRD	Sensory rhodopsin (SRI)	K04643	* sensory rhodopsin	K04643	BACS_HALSD	Sensory rhodopsin;	No_Match
S_ruber_randomG_0001_2_70	A0A2T2U2X0_9BACT	Histidine kinase	No_Match	two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]	K11527	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_71	Q2S2J5_SALRD	Methyl-accepting chemotaxis protein	No_Match	twitching motility protein PilJ	K02660	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_73	A0A2T2TGP7_9BACT	Large-conductance mechanosensitive channel	No_Match	* large conductance mechanosensitive channel	K03282	MSCL_CHLPM	Large-conductance mechanosensitive channel	K03282
S_ruber_randomG_0001_2_74	No_Match	Hypothetical Gene	No_Match	* lipopolysaccharide assembly protein A	K08992	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_75	A0A2T2U8K1_9BACT	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_76	D5H8R4_SALRM	MscS Mechanosensitive ion channel	K03442	* small conductance mechanosensitive channel	K03442	MSCS_EDWI9	Small-conductance mechanosensitive channel;	K03442
S_ruber_randomG_0001_2_78	No_Match	Hypothetical Gene	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_79	A0A2P6BX02_9BACT	Peptidase M28	No_Match	bacterial leucyl aminopeptidase [EC:3.4.11.10]	K05994	M28P2_LEPMJ	Probable zinc metalloprotease Lema_P086240;	No_Match
S_ruber_randomG_0001_2_80	G2SE21_RHOMR	Methyltransferase type 11	No_Match	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	K03183	Y1123_METJA	Uncharacterized protein MJ1123;	No_Match
S_ruber_randomG_0001_2_81	A0A1M7UQD1_9BRAD	Uridine phosphorylase	No_Match	purine-nucleoside phosphorylase [EC:2.4.2.1]	K03784	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_82	A0A2P6BW17_9BACT	MFS transporter	No_Match	MFS transporter, DHA1 family, multidrug resistance protein	K08153	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_83	A0A2H3P2E4_9BACT	Transcriptional regulator	No_Match	ArsR family transcriptional regulator, lead/cadmium/zinc/bismuth-responsive transcriptional repressor	K21903	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_2_84	A0A2P6C4A7_9BACT	Uncharacterized protein	No_Match	* mercuric ion transport protein	K08363	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_4	Q2S3Z6_SALRD	ParA family protein	No_Match	* chromosome partitioning protein	K03496	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_6	A0A2T2VGD6_9BACT	Uncharacterized protein	No_Match	natriuretic peptide A	K12334	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_9	D6CW29_SALRM	Uncharacterized protein	No_Match	pre-mRNA-splicing factor CWC22	K13100	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_10	No_Match	Hypothetical Gene	No_Match	cytochrome c oxidase subunit I [EC:1.9.3.1]	K02274	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_13	Q2S4W5_SALRD	Phage integrase, N-terminal SAM-like domain protein	No_Match	integrase/recombinase XerC	K03733	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_14	No_Match	Hypothetical Gene	No_Match	putative transcriptional regulator	K07729	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_15	A0A2N5KU83_9ACTN	Uncharacterized protein	No_Match	* replicative DNA helicase [EC:3.6.4.12]	K02314	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_18	No_Match	Hypothetical Gene	No_Match	bromodomain testis-specific protein	K11724	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_24	No_Match	Hypothetical Gene	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_25	No_Match	Hypothetical Gene	No_Match	uncharacterized protein	K09859	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_26	Q2RYJ7_SALRD	Nuclease, putative	No_Match	micrococcal nuclease [EC:3.1.31.1]	K01174	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_28	No_Match	Hypothetical Gene	No_Match	outer membrane protein assembly factor BamC	K07287	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_29	M0P7B4_9EURY	Restriction endonuclease-like protein	No_Match	* putative restriction endonuclease	K07454	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_31	A0A1I1IRY8_9FLAO	PLD-like domain-containing protein	No_Match	cardiolipin synthase C [EC:2.7.8.-]	K06132	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_36	No_Match	Hypothetical Gene	No_Match	LIM domain-containing protein	K13977	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_37	A0A2P6BXN0_9BACT	Uncharacterized protein	No_Match	* ATP-dependent helicase HepA [EC:3.6.4.-]	K03580	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_40	A0A2P6BXM6_9BACT	Uncharacterized protein	No_Match	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	K07317	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_42	A0A2H3NHR4_9BACT	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_43	A0A2H3NPI3_9BACT	Uncharacterized protein	No_Match	uncharacterized protein	K09900	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_44	A0A2H3NTT8_9BACT	Uncharacterized protein	No_Match	CBS domain-containing membrane protein	K07168	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_45	A0A1Y0RS49_9CYAN	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_46	A0A2H3NX41_9BACT	Uncharacterized protein	No_Match	HTH-type transcriptional regulator / antitoxin HipB	K15773	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_47	A0A2H3NI97_9BACT	Uncharacterized protein	No_Match	preprotein translocase subunit SecB	K03071	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_53	D6CVZ8_SALRM	Uncharacterized protein	No_Match	two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	K07679	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_58	A0A2T2UVB0_9BACT	Mutator family transposase	No_Match	* putative transposase	K07493	TRA5_RHIME	Transposase for insertion sequence element ISRM5;	K07493
S_ruber_randomG_0001_3_62	A0A2P6C612_9BACT	Uncharacterized protein	No_Match	* copper resistance protein B	K07233	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_63	No_Match	Hypothetical Gene	No_Match	plastocyanin	K02638	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_65	A0A2P6BWB5_9BACT	Multidrug transporter AcrB	No_Match	heavy-metal exporter, HME family	K07239	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_66	A0A2P6BWB8_9BACT	Uncharacterized protein	No_Match	membrane fusion protein, cobalt-zinc-cadmium efflux system	K15727	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_68	A0A2P6BWC8_9BACT	Uncharacterized protein	No_Match	* outer membrane protein, cobalt-zinc-cadmium efflux system	K15725	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_70	A0A2P6BW99_9BACT	Uncharacterized protein	No_Match	two-component system, OmpR family, response regulator	K02483	CZCR_CUPMC	Transcriptional activator protein CzcR;	K02483
S_ruber_randomG_0001_3_71	A0A2P6BWK5_9BACT	Uncharacterized protein	No_Match	two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]	K07644	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_73	A0A2H3NJ80_9BACT	Transporter	No_Match	* outer membrane protein, cobalt-zinc-cadmium efflux system	K15725	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_74	A0A2H3NJ38_9BACT	Efflux transporter periplasmic adaptor subunit	No_Match	* membrane fusion protein, cobalt-zinc-cadmium efflux system	K15727	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_75	A0A2H3NLW6_9BACT	CusA/CzcA family heavy metal efflux RND transporter	No_Match	* cobalt-zinc-cadmium resistance protein CzcA	K15726	CZCA_ALCSC	Cation efflux system protein CzcA;	No_Match
S_ruber_randomG_0001_3_76	A0A2H3P2X2_9BACT	Uncharacterized protein	No_Match	nitrogen regulatory protein P-II 1	K04751	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_77	A0A1M3P2T1_9SPHN	ATPase	No_Match	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]	K03079	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_79	D5H4S8_SALRM	Cadmium-exporting ATPase	K01534	* Cd2+/Zn2+-exporting ATPase [EC:3.6.3.3 7.2.2.12]	K01534	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_81	A0A2T2SSX5_9BACT	Uncharacterized protein	No_Match	* uncharacterized protein	K09132	Y1297_PYRHO	UPF0332 protein PH1297;	No_Match
S_ruber_randomG_0001_3_82	A0A2T2SSV2_9BACT	Uncharacterized protein	No_Match	uncharacterized protein	K07076	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_83	A0A2H3NSG0_9BACT	Antitoxin	No_Match	putative transcriptional regulator	K07726	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_84	A0A2H3P4R2_9BACT	Uncharacterized protein	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_85	A0A356WY71_9BACT	Nucleotidyl transferase AbiEii/AbiGii toxin family protein	No_Match	uncharacterized protein	K09144	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_86	A0A1M5LHS9_9BACT	Transcriptional regulator, AbiEi antitoxin, Type IV TA system	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_3_88	No_Match	Hypothetical Gene	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_4_2	D5H977_SALRM	ABC-type sugar transport systems, permease component	K17322	* glycerol transport system permease protein	K17322	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_4_3	D5H978_SALRM	Sugar ABC transporter, ATP-binding protein	K17325	* glycerol transport system ATP-binding protein	K17325	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_4_6	D5H981_SALRM	Transcriptional regulator, AraC family	No_Match	AraC family transcriptional regulator	K07506	No_Match	Hypothetical Gene	No_Match
